year,mon,day,hour,min,sec,lat_deg,lat_min,lon_deg,lon_min,quality,magnitude,depth_km,nph,rms,eventid,lat_dd,lon_dd,iso_utc
2025,01,01,17,36,15.83,32,45.38,-115,25.79,A,2.1,8.94,53,0.27,40831703,32.75633333333333,-115.42983333333333,2025-01-01T17:36:15.83Z
2025,01,01,18,29,39.33,33,41.71,-117,25.78,A,1.1,10.37,85,0.23,40831711,33.695166666666665,-117.42966666666666,2025-01-01T18:29:39.33Z
2025,01,01,18,52,2.02,36,10.15,-117,50.0,A,1.6,8.23,52,0.15,40831719,36.16916666666667,-117.83333333333333,2025-01-01T18:52:02.02Z
2025,01,01,19,27,31.54,32,17.59,-116,22.39,A,1.9,18.99,42,0.18,40831727,32.293166666666664,-116.37316666666666,2025-01-01T19:27:31.54Z
2025,01,01,19,55,59.23,34,16.34,-117,36.61,A,1.0,11.49,66,0.18,40831735,34.272333333333336,-117.61016666666667,2025-01-01T19:55:59.23Z
2025,01,01,20,17,17.58,35,46.75,-117,36.11,A,1.5,7.15,57,0.15,40831743,35.77916666666667,-117.60183333333333,2025-01-01T20:17:17.58Z
2025,01,01,21,04,10.45,36,5.66,-117,51.32,A,1.9,1.9,52,0.18,40831751,36.09433333333333,-117.85533333333333,2025-01-01T21:04:10.45Z
2025,01,01,21,27,36.15,35,52.98,-117,40.95,A,0.3,9.81,22,0.11,40831759,35.883,-117.6825,2025-01-01T21:27:36.15Z
2025,01,01,21,59,1.56,33,39.99,-116,43.01,A,0.5,13.8,34,0.13,40831767,33.6665,-116.71683333333333,2025-01-01T21:59:01.56Z
2025,01,01,22,23,39.43,33,58.52,-116,50.13,A,0.6,17.03,42,0.15,40831783,33.97533333333333,-116.8355,2025-01-01T22:23:39.43Z
2025,01,01,23,12,53.03,33,23.27,-116,26.26,A,1.5,11.92,128,0.2,40831791,33.38783333333333,-116.43766666666667,2025-01-01T23:12:53.03Z
2025,01,01,23,19,40.25,33,22.87,-116,25.79,A,1.1,10.74,34,0.17,40831799,33.381166666666665,-116.42983333333333,2025-01-01T23:19:40.25Z
2025,01,01,23,20,8.18,33,23.3,-116,26.04,A,1.2,11.12,102,0.19,40831807,33.388333333333335,-116.434,2025-01-01T23:20:08.18Z
2025,01,01,23,26,24.9,33,23.27,-116,26.16,A,1.7,11.03,137,0.2,40831815,33.38783333333333,-116.436,2025-01-01T23:26:24.90Z
2025,01,01,23,28,15.82,33,23.28,-116,26.35,A,2.0,11.05,171,0.21,40831823,33.388,-116.43916666666667,2025-01-01T23:28:15.82Z
2025,01,01,23,31,44.05,34,10.19,-117,29.23,A,0.9,4.85,60,0.18,40831839,34.16983333333334,-117.48716666666667,2025-01-01T23:31:44.05Z
2025,01,01,23,36,54.65,33,23.35,-116,26.47,A,2.0,11.83,159,0.2,40831847,33.38916666666667,-116.44116666666666,2025-01-01T23:36:54.65Z
2025,01,02,00,36,58.22,33,45.76,-115,57.18,A,1.0,1.05,53,0.21,40831863,33.76266666666667,-115.953,2025-01-02T00:36:58.22Z
2025,01,02,00,40,20.53,35,23.23,-117,45.5,A,0.8,4.74,42,0.14,40831871,35.387166666666666,-117.75833333333334,2025-01-02T00:40:20.53Z
2025,01,02,03,00,45.77,36,5.59,-117,51.35,A,1.1,1.99,50,0.16,40831927,36.09316666666667,-117.85583333333334,2025-01-02T03:00:45.77Z
2025,01,02,03,18,15.98,34,21.74,-120,9.62,A,2.4,-0.17,58,0.25,40831935,34.36233333333333,-120.16033333333333,2025-01-02T03:18:15.98Z
2025,01,02,03,18,40.55,34,1.75,-117,8.85,A,1.2,16.49,127,0.16,40831943,34.02916666666667,-117.1475,2025-01-02T03:18:40.55Z
2025,01,02,03,19,25.72,33,9.54,-115,39.42,A,1.4,3.83,63,0.2,40831951,33.159,-115.657,2025-01-02T03:19:25.72Z
2025,01,02,03,28,31.6,33,1.64,-115,32.86,A,1.6,7.96,61,0.26,40831959,33.02733333333333,-115.54766666666667,2025-01-02T03:28:31.60Z
2025,01,02,03,53,6.45,35,43.67,-117,34.14,A,0.6,13.33,28,0.15,40831967,35.727833333333336,-117.569,2025-01-02T03:53:06.45Z
2025,01,02,03,53,38.95,35,43.1,-117,34.87,A,0.2,16.89,14,0.15,37693916,35.718333333333334,-117.58116666666666,2025-01-02T03:53:38.95Z
2025,01,02,04,24,9.55,33,42.97,-118,36.52,A,1.4,17.5,45,0.24,37694124,33.716166666666666,-118.60866666666666,2025-01-02T04:24:09.55Z
2025,01,02,04,24,44.82,33,42.81,-118,34.46,A,1.5,11.38,56,0.26,40831983,33.7135,-118.57433333333333,2025-01-02T04:24:44.82Z
2025,01,02,04,50,46.17,33,16.32,-116,25.54,A,0.7,5.75,65,0.2,40831999,33.272,-116.42566666666667,2025-01-02T04:50:46.17Z
2025,01,02,05,20,17.47,36,5.93,-117,36.87,A,0.9,1.05,40,0.14,40832007,36.09883333333333,-117.6145,2025-01-02T05:20:17.47Z
2025,01,02,05,23,15.61,33,11.6,-116,10.61,A,1.5,6.58,129,0.2,40832015,33.193333333333335,-116.17683333333333,2025-01-02T05:23:15.61Z
2025,01,02,05,24,8.16,32,57.5,-117,43.08,A,1.5,10.71,44,0.21,37693956,32.958333333333336,-117.718,2025-01-02T05:24:08.16Z
2025,01,02,05,27,12.09,33,18.49,-116,13.25,A,2.1,5.41,176,0.2,40832031,33.308166666666665,-116.22083333333333,2025-01-02T05:27:12.09Z
2025,01,02,05,48,42.81,35,43.71,-117,33.45,A,0.4,2.02,32,0.14,40832039,35.7285,-117.5575,2025-01-02T05:48:42.81Z
2025,01,02,05,50,17.54,33,21.43,-116,22.78,A,0.9,12.49,89,0.2,40832047,33.357166666666664,-116.37966666666667,2025-01-02T05:50:17.54Z
2025,01,02,06,22,53.53,35,51.54,-117,39.95,A,2.1,7.59,71,0.16,40832055,35.859,-117.66583333333334,2025-01-02T06:22:53.53Z
2025,01,02,06,33,56.59,35,51.95,-117,39.6,A,0.6,8.52,28,0.15,40832063,35.865833333333335,-117.66,2025-01-02T06:33:56.59Z
2025,01,02,06,56,43.68,33,46.12,-115,57.16,A,0.9,0.29,66,0.18,40832079,33.76866666666667,-115.95266666666667,2025-01-02T06:56:43.68Z
2025,01,02,07,15,18.06,35,15.17,-119,53.99,A,1.1,8.56,25,0.23,40832087,35.252833333333335,-119.89983333333333,2025-01-02T07:15:18.06Z
2025,01,02,07,38,16.94,32,55.54,-116,28.92,A,1.2,6.83,101,0.2,40832095,32.925666666666665,-116.482,2025-01-02T07:38:16.94Z
2025,01,02,08,09,47.96,33,15.5,-116,22.16,A,0.7,3.76,76,0.19,40832103,33.25833333333333,-116.36933333333333,2025-01-02T08:09:47.96Z
2025,01,02,08,44,27.77,33,34.55,-116,35.41,A,0.5,14.17,50,0.11,40832111,33.575833333333335,-116.59016666666666,2025-01-02T08:44:27.77Z
2025,01,02,08,48,49.76,33,45.94,-115,57.47,A,1.3,0.83,85,0.19,40832119,33.76566666666667,-115.95783333333333,2025-01-02T08:48:49.76Z
2025,01,02,09,05,42.23,33,45.92,-115,57.27,A,1.0,0.06,68,0.2,40832127,33.76533333333333,-115.9545,2025-01-02T09:05:42.23Z
2025,01,02,09,26,35.0,33,22.01,-116,49.47,A,0.5,10.36,64,0.16,40832135,33.36683333333333,-116.8245,2025-01-02T09:26:35.00Z
2025,01,02,09,29,10.18,33,28.4,-116,27.65,A,0.8,10.49,86,0.16,40832143,33.473333333333336,-116.46083333333333,2025-01-02T09:29:10.18Z
2025,01,02,09,42,44.44,33,28.3,-116,53.66,A,1.3,12.54,119,0.21,40832151,33.471666666666664,-116.89433333333334,2025-01-02T09:42:44.44Z
2025,01,02,09,56,49.05,33,21.57,-116,53.36,A,0.5,6.54,57,0.17,40832159,33.3595,-116.88933333333334,2025-01-02T09:56:49.05Z
2025,01,02,10,27,28.95,34,2.61,-117,7.92,A,1.9,8.15,202,0.18,40832167,34.0435,-117.132,2025-01-02T10:27:28.95Z
2025,01,02,10,51,39.87,34,50.66,-118,57.77,A,0.8,11.92,51,0.2,40832175,34.84433333333333,-118.96283333333334,2025-01-02T10:51:39.87Z
2025,01,02,11,10,1.12,33,28.55,-116,53.67,A,0.7,12.69,71,0.21,40832183,33.475833333333334,-116.8945,2025-01-02T11:10:01.12Z
2025,01,02,11,23,16.13,33,28.38,-116,27.67,A,1.2,10.67,81,0.19,40832191,33.473,-116.46116666666667,2025-01-02T11:23:16.13Z
2025,01,02,11,28,59.55,33,21.94,-116,49.29,A,0.5,9.08,63,0.19,40832199,33.36566666666667,-116.8215,2025-01-02T11:28:59.55Z
2025,01,02,11,42,4.99,34,1.91,-117,14.3,A,1.0,17.06,122,0.19,40832207,34.03183333333333,-117.23833333333333,2025-01-02T11:42:04.99Z
